1, Moses, 19, Midfielder, 4.8, NaN, 18.27
2, Skrtel, 11, Defender, 6.2, NaN, 18.11
3, Hart, 12, Goalkeeper, 6.8, NaN, 17.83
4, Van Persie, 1, Forward, 13.2, NaN, 17.6
5, Petrov, 3, Midfielder, 5.8, NaN, 16.91
6, Silva, 12, Midfielder, 10.3, NaN, 16.17
7, Sturridge, 8, Forward, 7.4, NaN, 16.06
8, Berbatov, 2, Forward, 8.9, NaN, 15.99
9, Valencia, 2, Midfielder, 8, NaN, 14.97
10, Gomez, 19, Midfielder, 5, NaN, 14.22
11, Mignolet, 15, Goalkeeper, 4.3, NaN, 11.64
12, Boyce, 19, Defender, 4.3, NaN, 11.55
13, Tamas, 17, Defender, 4.5, NaN, 7.33
14, Williamson, 13, Defender, 4.2, NaN, 7.21
15, Dunne, 3, Defender, 5.3, NaN, 7.19
Total Points, 211.05,, Total Form, NaN,, Total Price: 99
